LLAMA_3.3,Query type,With RAG,With RAG,With RAG,Remarks,With RAG,With RAG,With RAG,With RAG,Without RAG ,Remarks,Without RAG ,Without RAG ,Without RAG 
question,b/multi_b/adv,Code Correctness(try1),Code Correctness(try2),Code Correctness(try3),,Code Error + Syntax + Placeholder function,hallucination,response latency,Token usage,Code Correctness,,hallucination,response latency,Token usage
Set the I gain to 1000 in the AFM software.,b,n,n,n,wrong function to set P gain,0,1,,,,,,,
Set the $\frac{time}{line}$ to \pu{1 s} in the AFM software.,b,y,y,y,"similar code, extra step, cleaner code in try2",0,0,0.753,1255,,,,,
Set setpoint to \pu{200 nN} in the AFM software.,b,n,n,n,"same code, uses litho.addcmd_setpoint",1,1,,980,,,,,
Set image size as $100 \times 100 \pu{nm}$ in the AFM software.,multi_b,y,y,y,"similar code, extra step",0,0,1.347,1354,n,"wrong object,correct function",0,,
Set image rotation to \pu{20 degree} in the AFM software.,b,y,y,y,"similar code, an extra step",0,0,0.582,1141,n,"wrong object,correct function",0,,
Set overscan to $5 %$ the AFM software.,b,n,n,n,"hallucinating, no retrieval of function",0,1,,,n,"wrong object,correct function",0,,
Bring the AFM tip to the sample surface.,adv,n,n,n,"wrong function, hallucinating, extra steps",0,1,,,n,"wrong object, correct code",0,,
Retract the AFM tip from the sample surface.,adv,n,y,y," hallucination, extra steps",0,1,0.945,1375,n,"wrong object, correct code",0,,
Change the cantilever tip to Multi75AL-G in the AFM software.,b,n,n,n,"wrong functions , hallucinating",1,0,,,n,"wrong object , correct code",0,,
Change the AFM operation mode to dynamic force mode in the AFM software.,b,n,n,n,"wrong function, extra step",0,1,,,n,wrong object,0,,
Capture an image by setting a $\frac{time}{line}$ that ensures the scanning is completed within 30 seconds.,adv,n,n,n,"same code, function correct, syntax error",1,0,,,n,"wrong syntax, correct code, hallucinating",1,,
Withdraw the AFM tip from the sample surface.,adv,n,n,n,"same code, function correct ,extra step",0,1,,,n,"wrong object , correct code",0,,
Capture an image by scanning from the top to bottom direction.,adv,n,n,n,wrong function,1,0,,,n,"similar error for scan direction as with RAG,",1,,
Start capture the image of the current sample and get the number of datapoints during the forward and backward measurement ,adv,n,n,n,"wrong function, extra step",0,1,,,n,"wrong object and syntax, but correct code",0,,
Capture an spectroscopy image of a sample with total 256 lines,adv,y,y,y,"same code, correct functions,extra step",0,1,1.009,1526,n,"wrong object, hallucinating",1,,
"Move tip to -5 um , -5 um position in the current image plane",b,n,n,n,"same code, wrong syntax, wrong code",1,0,,,n,"wrong code, hallucinating",1,,
Get the value of laser power ,b,y,y,y,same code,0,0,1.121,973,n,wrong object,0,,
Get the all positions of detector,multi_b,y,y,y,"same code, correct functions",0,0,1.035,935,n,wrong function,1,,
Get the deflection sensitivity and spring constant currently used in AFM Software,multi_b,n,n,n,"same code, syntax error",1,0,,,n,"wrong syntax, correct code",0,,
Get the offset of image plane from Z axis and number scan lines in the current image frame,multi_b,n,n,n,"same code, wrong function, hallucinating",0,1,,,n,wrong functions,1,,
Set the operating mode of AFM to Dynamic force mode and get the resonance frequency between 20000 and 50000,adv,n,n,n,"same code, correct functions,syntax error",1,0,,,n,"wrong syntax, code correct, unlike RAG",0,,
Get the current position of Z motor and set it to zero,multi_b,n,n,n,"same code, first function is wrong ",0,1,,,n,"wrong object, correct code",0,,
Approach the sample slowly with a speed of 10 ,adv,n,y,n,"same code, wrong function for approach,extra step",0,0.67,0.783,1585,n,"wrong code, hallucinating",1,,
"Approach the sample slowly with max 20000 steps and check if it is reached , if its reached then stop the z motor",adv,n,n,n,"same code, wrong function",0,1,,,n,"wrong code, hallucinating",1,,
Get the reference position and current configuration,multi_b,y,n,y,"same code in try1 try3, in try 2 the function for configuration is wrong",0.33,0.33,1.0275,992,n,"wrong object and syntax, but correct code",0,,
Get the size of the current chart in pixels and set it to 512,multi_b,n,n,n,"same code, wrong function for the first task",0,1,,,n,"wrong syntax, correct code",0,,
Return the all the data in  the 10th line and fit it to polynomial and return the data in 32 bit format,multi_b,n,y,y,"in try1 misses one step, try2, try3 assume parameters",0.33,0.33,1.975,2030,n,wrong object and syntax,1,,
Get the current mode and cantilever in use,multi_b,n,n,n,"similar code,extra step, wrong function, wrong syntax",1,1,,,n,wrong object and  syntax withm spm,1,,
Set the vibrating amplitude of the cantilever to $50\pu{mV}$ in dynamic mode,adv,n,n,y,"wrong functions , extra step",0,0.67,0.951,1119,n,wrong object and codde,1,,
Capture a new slope corrected image .,adv,y,y,n,"wrong function, extra steps",0.33,0,0.977,1401,n,"wrong syntax,correct code, hallucinating, but unlike RAG it writes code to capture image",1,,
set the image width such that it can move at max 500 um with a overscan of 10,adv,y,y,y,"same code, extra steps",0,0,1.045,1192,n,"wrong code, hallucinating",1,,
Capture a new contour enabled image .,adv,n,n,n,"similar code , wrong function , hallucinating",0,1,,,n,wrong function,1,,
