MISTRAL_SABA,Query type,With RAG,With RAG,With RAG,Remarks,with RAG,With RAG,With RAG ,With RAG,With RAG,With RAG,Without RAG ,remarks,Without RAG ,Without RAG ,Without RAG 
question,b/multi_b/adv,Code Correctness(try1),Code Correctness(try2),Code Correctness(try3),,Not following instruction,Syntax Error and ,Code Error and Wrong Function ,hallucination,response latency,Token usage,Code Correctness,,hallucination,response latency,Token usage
Set the I gain to 1000 in the AFM software.,b,y,y,y,"same code, but sleepwalking",0,0,0,0,1.144,1364,,,,,
Set the $\frac{time}{line}$ to \pu{1 s} in the AFM software.,b,y,y,y,same code every try,0,0,0,0,0.871,1174,n,wrong object,0,,
Set setpoint to \pu{200 nN} in the AFM software.,b,n,n,n,"same code, wrong function litho.addcmd_setpoint",0,0,1,1,,,n,wrong object,0,,
Set image size as $100 \times 100 \pu{nm}$ in the AFM software.,multi_b,n,n,n,"same code , but didn't set the image height",1,0,1,0,,,n,wrong object,0,,
Set image rotation to \pu{20 degree} in the AFM software.,b,y,y,y,"same code,Correct code but hallucinated",1,0,0,1,1.05,1603,n,wrong object,0,,
Set overscan to $5 %$ the AFM software.,b,n,n,n,"same code, correct , but hallucinating with scanmode",1,0,0,1,,,n,wrong object,0,,
Bring the AFM tip to the sample surface.,adv,n,n,n,"same code, wrong, with wrong functions",0,0,1,0,,,n,"wrong code, moves stage",1,,
Retract the AFM tip from the sample surface.,adv,n,n,n,"same code, wrong and hallucinating",0,0,1,1,,,n,wrong object,0,,
Change the cantilever tip to Multi75AL-G in the AFM software.,adv,n,n,n,"different code, wrong functions, hallucinating",0,1,1,1,,,n,"wrong syntax, correct code",0,,
Change the AFM operation mode to dynamic force mode in the AFM software.,b,n,n,n,"same code, wrong functions, hallucinating",1,1,1,1,,,n,wrong object,0,,
Capture an image by setting a $\frac{time}{line}$ that ensures the scanning is completed within 30 seconds.,adv,y,y,y,"same code, may be hallucinating",1,0,0,0,1.371,1457,n,"syntax error, correct code",0,,
Withdraw the AFM tip from the sample surface.,adv,n,n,n,"same code, same approach as deepseek, try3 hallucinating",1,1,0,1,,,n,wrong code,1,,
Capture an image by scanning from the top to bottom direction.,adv,n,n,n,"same code, wrong, also same hallucination as deepseek",1,1,0,1,,,n,similar error as with RAG,1,,
Start capture the image of the current sample and get the number of datapoints during the forward and backward measurement ,adv,n,n,n,"same code, wrong functions, hallucinating",0,0,1,1,,,n,"wrong object, but correct function unlike with RAG",0,,
Capture an spectroscopy image of a sample with total 256 lines,adv,n,n,n,"same code, wrong functions, hallucinating",1,1,1,1,,,n,"correct code, but wrong syntax and hallucinating",1,,
"Move tip to -5 um , -5 um position in the current image plane",b,n,n,n,"same code, but wrong units",0,0,1,1,,,n,wrong function,1,,
Get the value of laser power ,b,y,y,y,"same code, correct function, repeating",1,0,0,1,0.751,1252,n,"wrong object, correct code",0,,
Get the all positions of detector,multi_b,n,n,n,"same code, wrong function, hallucinating",1,1,1,0,,,n,"wrong object , wrong code",1,,
Get the deflection sensitivity and spring constant currently used in AFM Software,multi_b,n,n,n,"same code, wrong function for spring constant",0,0,1,1,,,n,"wrong object but correct code, unlike RAG",0,,
Get the offset of image plane from Z axis and number scan lines in the current image frame,multi_b,y,y,y,"same code, but not sure whether the code is correct, correct function, but virtual axis id?",1,0,1,0,1.029,1224,n,"wong object , wrong code",1,,
Set the operating mode of AFM to Dynamic force mode and get the resonance frequency between 20000 and 50000,adv,n,n,n,"same code, wrong function for DFM setting in AFM, but the next function is correct one",0,1,0,0,,,n,"correct code for setting the mode(unlike with RAG), but wrong function for resonance frequency",0,,
Get the current position of Z motor and set it to zero,multi_b,n,n,n,"same code, wrong function, ",1,1,1,0,,,n,wrong object,0,,
Approach the sample slowly with a speed of 10 ,adv,n,n,n,"the syntax error is in the extra step ,wrong function",1,1,1,0,,,n,"wrong object, correct code",0,,
"Approach the sample slowly with max 20000 steps and check if it is reached , if its reached then stop the z motor",adv,n,n,n,"same code, code is correct , but using some other function than what was direct function",0,0,1,1,,,n,wrond fucntions and code,1,,
Get the reference position and current configuration,multi_b,n,n,n,"different code, the first function is correct, the second function function is wrong and hallucinating",0,0,1,1,,,n,"wrong object, correct code",0,,
Get the size of the current chart in pixels and set it to 512,multi_b,y,n,y,"same code, try3 is hallucinating",1,0,0,0.33,0.585,1072,n,"wrong syntax, correct code",0,,
Return the all the data in  the 10th line and fit it to polynomial and return the data in 32 bit format,multi_b,n,n,n,"same code, wrong function for the first part and hallucinating, also assuming parameter",1,0,1,1,,,n,wrong code for polyfit,0,,
Get the current mode and cantilever in use,multi_b,n,n,n,"similar code, wrong function, and can't do task in query",0,0,1,1,,,n,"wrong syntax, unlike RAG",0,,
Set the vibrating amplitude of the cantilever to $50\pu{mV}$ in dynamic mode,adv,y,y,y,"same code, extra step to afm sensor status",1,0,0,0,1.521,1591,n,wrong code,1,,
Capture a new slope corrected image .,b,n,n,n,"same code, correct function, extra steps, syntax error",1,1,0,1,,,n,"wrong syntax, correct code,hallucinating",1,,
set the image width such that it can move at max 500 um with a overscan of 10,adv,n,n,n,"same code, wrong  code logic",0,0,1,1,,,n,wrong code,1,,
Capture a new contour enabled image .,adv,n,n,n,"same code, function correct,extra steps",1,0,0,0,,,n,"wrong object, but correct function unlike with RAG",0,,
