GPT_3.5_TURBO,Query type,With RAG,With RAG,With RAG,Remarks,With RAG,With RAG,With RAG,With RAG,Without RAG ,,Without RAG ,Without RAG ,Without RAG 
question,b/multi_b/adv,Code Correctness(try1),Code Correctness(try2),Code Correctness(try3),,Code error+syntax +logic error+place holder func,hallucination + wrong func retrieval + missing step + repeating steps,response latency,Token usage,Code Correctness,Remarks,hallucination,response latency,Token usage
Set the I gain to 1000 in the AFM software.,b,n,y,n,,1,0,5.91,940,,,,,
Set the $\frac{time}{line}$ to \pu{1 s} in the AFM software.,b,n,n,n,"different code, synatx error,hallucinating",1,0,,,n,Wong object,0,,
Set setpoint to \pu{200 nN} in the AFM software.,b,n,n,n,"same CODE, USES LITHO.ADDCMD_SET_POINT",0,1,,,n,wrong object,0,,
Set image size as $100 \times 100 \pu{nm}$ in the AFM software.,multi_b,n,n,n,"same code,not code for image height to 100 nm",0,1,,,n,"wrong object, wrong code in units",0,,
Set image rotation to \pu{20 degree} in the AFM software.,b,y,y,y,"same code, a bit hallucinating",0,0,3.437,899,n,wrong object,0,,
Set overscan to $5 %$ the AFM software.,b,n,n,n,"same code, wrong function",1,0,,,n,wrong object,0,,
Bring the AFM tip to the sample surface.,adv,n,n,n,"same code, uses startadvanced, multiple repeatetion of same step",0,1,,,n,wrong code,1,,
Retract the AFM tip from the sample surface.,adv,y,y,y,repeatetion of same task,0,1,5.178,1218,n,wrong code,1,,
Change the cantilever tip to Multi75AL-G in the AFM software.,adv,n,n,n,"similar code, wrong function",1,1,,,n,wrong code,1,,
Change the AFM operation mode to dynamic force mode in the AFM software.,b,n,n,n,"same code,wrong function. ",1,1,,,n,"wrong syntax, correct code, unlike with RAG",0,,
Capture an image by setting a $\frac{time}{line}$ that ensures the scanning is completed within 30 seconds.,adv,n,n,n,"similar code, wrong functions, extra step",0,1,,,n,"wrong syntax, correct code, wrong code for image capture, unlike with RAG",0,,
Withdraw the AFM tip from the sample surface.,adv,n,n,n,"similar codes for try1 and try3 , no stop also , and start retract is used at first",1,0,,,n,"wrong object, function",0,,
Capture an image by scanning from the top to bottom direction.,adv,n,n,n,"wrong functions, extra steps",1,1,,,n,"similar error in function as with RAG, NO CODE FOR IMAGE CAPTURE",1,,
Start capture the image of the current sample and get the number of datapoints during the forward and backward measurement ,adv,n,n,n,"wrong function , syntax error",1,1,,,n,"wrong object, but correct code, unlike RAG",0,,
Capture an spectroscopy image of a sample with total 256 lines,adv,n,n,n,no code for capturing image,1,1,,,n,"wrong object, but correct code, unlike RAG",0,,
"Move tip to -5 um , -5 um position in the current image plane",b,n,n,n,"similar code, wrong units",1,1,,,n,"wrong code, similar to with RAG",1,,
Get the value of laser power ,b,y,y,y,same code,0,0,3.331,883,n,wrong object,0,,
Get the all positions of detector,multi_b,n,n,n,"try1 and try2 have wrong functions, try3 is hallucinating, extra steps",1,0,,,n,"wrong code, hallucinating",1,,
Get the deflection sensitivity and spring constant currently used in AFM Software,multi_b,y,y,y,"similar code, sleepwalking",0,1,4.105,1141,n,"wrong object, but correct code",0,,
Get the offset of image plane from Z axis and number scan lines in the current image frame,multi_b,y,y,y,same code,0,0,3.819,843,n,"wrong object, but correct code",0,,
Set the operating mode of AFM to Dynamic force mode and get the resonance frequency between 20000 and 50000,adv,n,n,n,"similar code, hallucinating ,wrong  function",1,0,,,n,"wrong object, but correct code unlike other llms",0,,
Get the current position of Z motor and set it to zero,multi_b,n,n,n,"same code, wrong function for z motor position",0,1,,,n,wrong object,0,,
Approach the sample slowly with a speed of 10 ,adv,n,n,n,"same code, wrong fucntion for approoach",0,1,,,n,"wrong code, hallucinating",1,,
"Approach the sample slowly with max 20000 steps and check if it is reached , if its reached then stop the z motor",adv,n,n,n,"similar code, wrong function for approach",0,1,,,n,wrong code,1,,
Get the reference position and current configuration,multi_b,y,y,y,same code,0,0,4.8704,596,n,"wrong object, correct code",0,,
Get the size of the current chart in pixels and set it to 512,multi_b,y,y,y,same code,0,0,2.649,694,n,"wrong object ,correct code",0,,
Return the all the data in  the 10th line and fit it to polynomial and return the data in 32 bit format,multi_b,n,n,n,"wrong function for 32 bt format , / wrong function",0,1,,,n,"wrong object, similar approach as other llms",0,,
Get the current mode and cantilever in use,multi_b,n,n,n,wrongs function like other llms,0,1,,,n,"wrong object, correct code",0,,
Set the vibrating amplitude of the cantilever to $50\pu{mV}$ in dynamic mode,adv,n,n,n,wrong code or hallucinating,0,1,,,n,"wrong code, hallucinating",1,,
Capture a new slope corrected image .,b,n,n,n,"same code, hallucinating, no code for capturing image",0,1,3.522,614,n,"wrong code, hallucinating",1,,
set the image width such that it can move at max 500 um with a overscan of 10,adv,n,n,n,"wrong code , hallucinating, extra step",0,1,,,n,"wrong code, hallucinating",1,,
Capture a new contour enabled image .,adv,n,n,n,no code for capturing imge,0,1,,,n,"wrong object, correct code",0,,
