DEEPSEEK,Query type,With RAG,With RAG,With RAG,Remarks,With RAG,With RAG,With RAG,With RAG,Without RAG ,without RAG,Without RAG ,Without RAG ,Without RAG 
question,b/multi_b/adv,Code Correctness(try1),Code Correctness(try2),Code Correctness(try3),,Code +syn+ placeholder function + logic errors,hallucination,response latency,Token usage,Code Correctness,Remarks,hallucination,response latency,Token usage
Set the I gain to 1000 in the AFM software.,b,n,y,y,"same code, try1 has small systax error",0.33,0,2.085,2550,n,"wrong object, correct code",0,,
Set the $\frac{time}{line}$ to \pu{1 s} in the AFM software.,b,n,n,n,"same code, syntax error, no object",1,0.33,1.21,4481,n,wrong function,1,,
Set setpoint to \pu{200 nN} in the AFM software.,b,n,n,n,"same code, wrong function , hallucinating",0,1,,,n,wrong function,1,,
Set image size as $100 \times 100 \pu{nm}$ in the AFM software.,multi_b,n,n,n,"similar code, correct function, syntax error, no object",1,0.33,2.27,4071,n,"wrong object,correct code",0,,
Set image rotation to \pu{20 degree} in the AFM software.,b,y,y,n,try3 has no object,0.33,0,2.205,3002,n,correct code and almost correct syntax,0,,
Set overscan to $5 %$ the AFM software.,b,n,n,y,"try1, try2 wrong syntax, no object, extra step",0.67,0,2.08,2919,n,"correct object but sytax error, correct codde",0,,
Bring the AFM tip to the sample surface.,adv,n,y,n,"try1 syntax error, try 3 has start advanced and extra step",0.33,0.33,2.27,4514,n,wrong code,1,,
Retract the AFM tip from the sample surface.,adv,y,n,y,"extra step,spm object",0.33,0,3.73,4702,n,wrong code like that with RAG,1,,
Change the cantilever tip to Multi75AL-G in the AFM software.,adv,n,n,n,"wrong function, syntax error, placeholder functions",1,0,,,n,wrong code like that with RAG,1,,
Change the AFM operation mode to dynamic force mode in the AFM software.,b,n,n,n,"wrong code, function, syntax error, placeholder function",1,0,,,n,wrong code,1,,
Capture an image by setting a $\frac{time}{line}$ that ensures the scanning is completed within 30 seconds.,adv,n,n,n,"got correct functions, spm object",1,0,,,,,,,
Withdraw the AFM tip from the sample surface.,adv,y,n,y,extra step,0,0.33,2.8,4785,n,"wrong object, wrong code",1,,
Capture an image by scanning from the top to bottom direction.,b,n,n,n,"wrong function, hallucination, madeup function",1,0,,,n,wrong function similar to with RAG,1,,
Start capture the image of the current sample and get the number of datapoints during the forward and backward measurement ,adv,n,n,n,"wrong code,function,syntax error,spm object",1,0,,,n,"wrong code, hallucinating",1,,
Capture an spectroscopy image of a sample with total 256 lines,adv,n,n,n,"syntax error, no object,extra steps",1,0,,,n,"wrong code , hallucinating",1,,
"Move tip to -5 um , -5 um position in the current image plane",b,n,n,n,"different codes, but wrong syntax (try1), wrog codes",0.33,0.67,,,n,"wrong object, wrong code, hallucinating",1,,
Get the value of laser power ,b,n,n,y,"syntax error,spm object",1,0,1.479,2256,n,"wrong object, correct code",1,,
Get the all positions of detector,multi_b,n,n,n,"correct function, wrong syntax, spm object",1,0,,,n,"wrong code , hallucinating",,1,
Get the deflection sensitivity and spring constant currently used in AFM Software,multi_b,n,n,n ,"syntax wrong, wrong function",0.33,0.67,,,n,"wrong object with spm, wrong function",1,,
Get the offset of image plane from Z axis and number scan lines in the current image frame,multi_b,n,n,n,used correct functions but spm to call them,1,0,,,n,"wrong object, correct code",1,,
Set the operating mode of AFM to Dynamic force mode and get the resonance frequency between 20000 and 50000,adv,n,n,n,made up function,1,0,,,n,"wrong object with spm,wrong code for frquency, correct code for mode setting unlike RAG",1,,
Get the current position of Z motor and set it to zero,multi_b,n,n,n,"correct functions,  spm object",1,0,,,n,"wrong object , correct code",0,,
Approach the sample slowly with a speed of 10 ,adv,y,n,n,"correct function , no object",0.67,0,2.64,4483,n,"wrong syntax, hallucinating",1,,
"Approach the sample slowly with max 20000 steps and check if it is reached , if its reached then stop the z motor",adv,n,n,n,"spm object, syntax error, madeup function",1,0,,,n,wrong code,1,,
Get the reference position and current configuration,multi_b,y,n,n,"functions are correct ,extra step, spm object",1,0,2.35,3500,n,"wrong object, but correct code",0,,
Get the size of the current chart in pixels and set it to 512,multi_b,y,y,n,try3 has too large request,0,0,2.44,3972,n,"correct object , wrong syntax",0,,
Return the all the data in  the 10th line and fit it to polynomial and return the data in 32 bit format,multi_b,y,n,n,"wrong function for 32 bit conversion, assumes parameters",0,0.67,3.183,5978,n,"wrong object, but correct code",1,,
Get the current mode and cantilever in use,multi_b,n,n,n,"wrong function , spm object/no object, syntax error",1,0,,,n,wrong object for mode,1,,
Set the vibrating amplitude of the cantilever to $50\pu{mV}$ in dynamic mode,adv,n,y,n, try1 and try3 have hallucinations,0,0.67,2.89,2886,n,wrong function for frquency ,1,,
Capture a new slope corrected image .,b,n,n,y,"no/spm object, extra steps",0.33,0,3.02,4270,n,"wrong object, nearly correct code, hallucinating",1,,
set the image width such that it can move at max 500 um with a overscan of 10,adv,n,y,y,"similar code, correct calculation, no object in try1",0.33,0,2.062,2754,n,wrong code,1,,
Capture a new contour enabled image .,adv,n,y,y,"extra step , no object",0.33,0,3.259,4762,n,"wrong code, hallucinating",1,,
