,Query type,With RAG,With RAG,With RAG,Remarks,With RAG,With RAG,With RAG,Without RAG ,Without RAG ,Without RAG ,Without RAG 
question,b/multi_b/adv,Code Correctness(try1),Code Correctness(try2),Code Correctness(try3),,hallucination,response latency,Token usage,Code Correctness,hallucination,response latency,Token usage
Set the I gain to 1000 in the AFM software.,b,,,,,,,,,,,
Set the $\frac{time}{line}$ to \pu{1 s} in the AFM software.,b,,,,,,,,,,,
Set setpoint to \pu{200 nN} in the AFM software.,b,,,,,,,,,,,
Set image size as $100 \times 100 \pu{nm}$ in the AFM software.,multi_b,,,,,,,,,,,
Set image rotation to \pu{20 degree} in the AFM software.,b,,,,,,,,,,,
Set overscan to $5 %$ the AFM software.,b,,,,,,,,,,,
Bring the AFM tip to the sample surface.,adv,,,,,,,,,,,
Retract the AFM tip from the sample surface.,adv,,,,,,,,,,,
Change the cantilever tip to Multi75AL-G in the AFM software.,adv,,,,,,,,,,,
Change the AFM operation mode to dynamic force mode in the AFM software.,b,,,,,,,,,,,
Capture an image by setting a $\frac{time}{line}$ that ensures the scanning is completed within 30 seconds.,adv,,,,,,,,,,,
Withdraw the AFM tip from the sample surface.,adv,,,,,,,,,,,
Capture an image by scanning from the top to bottom direction.,adv,,,,,,,,,,,
Start capture the image of the current sample and get the number of datapoints during the forward and backward measurement ,adv,,,,,,,,,,,
Capture an spectroscopy image of a sample with total 256 lines,adv,,,,,,,,,,,
"Move tip to -5 um , -5 um position in the current image plane",b,,,,,,,,,,,
Get the value of laser power ,b,,,,,,,,,,,
Get the all positions of detector,multi_b,,,,,,,,,,,
Get the deflection sensitivity and spring constant currently used in AFM Software,multi_b,,,,,,,,,,,
Get the offset of image plane from Z axis and number scan lines in the current image frame,multi_b,,,,,,,,,,,
Set the operating mode of AFM to Dynamic force mode and get the resonance frequency between 20000 and 50000,adv,,,,,,,,,,,
Get the current position of Z motor and set it to zero,multi_b,,,,,,,,,,,
Approach the sample slowly with a speed of 10 ,adv,,,,,,,,,,,
"Approach the sample slowly with max 20000 steps and check if it is reached , if its reached then stop the z motor",adv,,,,,,,,,,,
Get the reference position and current configuration,multi_b,,,,,,,,,,,
Get the size of the current chart in pixels and set it to 512,multi_b,,,,,,,,,,,
Return the all the data in  the 10th line and fit it to polynomial and return the data in 32 bit format,multi_b,,,,,,,,,,,
Get the current mode and cantilever in use,multi_b,,,,,,,,,,,
Set the vibrating amplitude of the cantilever to $50\pu{mV}$ in dynamic mode,adv,,,,,,,,,,,
Capture a new slope corrected image .,b,,,,,,,,,,,
set the image width such that it can move at max 500 um with a overscan of 10,adv,,,,,,,,,,,
Capture a new contour enabled image .,adv,,,,,,,,,,,
